h.fv.fm,h.tauAv1,Treatment,taxa,Organism,Shelf,,,,,,
0.39,1095.19,High Fe,Diatom,C. closterium 4,Outer shelf,,,,,,
0.40,1708.89,Low Fe,Diatom,C. closterium 4,Outer shelf,,,,,,
0.43,1579.00,High Fe,Coccolithophore,G. oceanica,Inner shelf,,,,,,
0.29,2789.75,Low Fe,Coccolithophore,G. oceanica,Inner shelf,,,,,,
0.38,3219.50,High Fe,Diatom,C. closterium 8,Inner shelf,,,,,,
0.37,4024.88,Low Fe,Diatom,C. closterium 8,Inner shelf,,,,,,
0.47,1595.50,High Fe,Coccolithophore,E. huxleyi,Outer shelf,,,,,,
0.31,10095.00,Low Fe,Coccolithophore,E. huxleyi,Outer shelf,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,