culture,treatment,Sample,GrowthRate,chla ug/L,CellSize,tQa,Fv.Fm,pH-starting,pH-ending,pH-change,cells/L
4,Low Fe,04pFe21.9a,0.6601,,,1708,0.446,7.84,8,0.16,1.75E+07
4,Low Fe,04pFe21.9b,0.5967,,,1560,0.444,7.89,7.93,0.04,2.50E+07
4,Low Fe,04pFe21.9c,0.583,0.229359683,,1716,0.43,7.85,7.91,0.06,2.54E+07
4,Low Fe Add-Back,04addback_a,,,,1432,0.454,8,8.26,0.26,2.31E+07
4,Low Fe Add-Back,04addback_b,,,,1490,0.445,7.93,8.22,0.29,5.45E+07
8,High Fe,08pfe19a,1.8226,1.144337472,,1321,0.475,7.85,8.15,0.3,2.89E+07
8,High Fe,08pfe19b,1.8841,1.351056499,,1837,0.345,7.85,8.14,0.29,5.70E+07
8,High Fe,08pfe19c,1.345,0.908087155,,1061,0.476,7.87,8.16,0.29,3.38E+07
8,Low Fe,08pfe21.9a,1.1533,0.371602061,,1971,0.486,8.11,8.2,0.09,2.13E+07
8,Low Fe,08pfe21.9b,0.9799,,,1377,0.47,7.98,8.06,0.08,3.30E+07
8,Low Fe,08pfe21.9c,0.8842,,,1462,0.449,7.79,7.9,0.11,2.42E+07
8,Low Fe Add-Back,08addback_b,,,,1093,0.539,8.06,8.28,0.22,1.10E+08
8,Low Fe Add-Back,08addback_c,,,,1197,0.57,7.9,8.07,0.17,6.64E+07
6,High Fe,06pfe19a,0.9461,0.408516173,,1646,0.463,7.75,7.91,0.16,9.90E+07
6,High Fe,06pfe19b,0.8107,0.563555443,,1530,0.445,7.76,7.96,0.2,8.70E+07
6,High Fe,06pfe19c,0.9525,0.452813107,,1622,0.442,7.76,8.01,0.25,1.00E+08
6,Low Fe,06pfe21.9a,0.171,0.035683642,,4789,0.239,7.7,7.75,0.05,2.75E+07
6,Low Fe,06pfe21.9b,0.1665,0.039621147,,4543,0.233,7.7,7.72,0.02,3.67E+07
6,Low Fe,06pfe21.9c,0.2253,0.065953213,,6432,0.354,7.81,7.7,-0.11,2.76E+07
6,Low Fe,06pfe21.9a2,0.265,,,4562,0.27,7.9,7.76,-0.14,
6,Low Fe,06pfe21.9b2,0.28,,,5417,0.236,7.9,7.78,-0.12,
6,Low Fe,06pfe21.9c2,0.277,,,5266,0.239,7.9,7.76,-0.14,
6,Low Fe Add-Back,06addback_a,,,,1339,0.416,7.75,7.74,-0.01,6.19E+07
6,Low Fe Add-Back,06addback_b,,,,1183,0.349,7.72,7.77,0.05,5.80E+07
6,Low Fe Add-Back,06addback_c,,,,,,7.7,7.72,0.02,3.09E+07
6,Low Fe Add-Back,06addback_a2,,,,1922,0.407,7.76,7.65,-0.11,
6,Low Fe Add-Back,06addback_b2,,,,1788,0.39,7.78,7.62,-0.16,
6,Low Fe Add-Back,06addback_c2,,,,1948,0.393,7.76,7.67,-0.09,
13,High Fe,13pfe19a,0.7046,0.36914112,,1196,0.426,7.81,7.84,0.03,1.51E+08
13,High Fe,13pfe19b,0.7132,0.332227008,,1381,0.429,7.78,7.8,0.02,1.05E+08
13,High Fe,13pfe19c,0.6878,0.295312896,,1231,0.426,7.8,7.84,0.04,1.05E+08
13,Low Fe,13pfe21.9a,0.5082,0.060785238,,15193,0.271,8.07,7.98,-0.09,2.21E+07
13,Low Fe,13pfe21.9b,0.4835,0.066691496,,17074,0.288,8.15,8.05,-0.1,2.94E+07
13,Low Fe,13pfe21.9c,0.5768,0.090316527,,17454,0.25,8.11,8.04,-0.07,3.30E+07
13,Low Fe,13pfe21.9a2,0.428,,,11416,0.191,7.9,7.8,-0.1,
13,Low Fe,13pfe21.9b2,0.43,,,14104,0.213,7.9,7.81,-0.09,
13,Low Fe,13pfe21.9c2,0.413,,,16934,0.238,7.9,7.8,-0.1,
13,Low Fe Add-Back,13addback_a,,,,2719,0.393,7.98,8.01,0.03,7.76E+07
13,Low Fe Add-Back,13addback_b,,,,3109,0.399,8.05,8.09,0.04,8.60E+07
13,Low Fe Add-Back,13addback_c,,,,2840,0.398,8.04,8.1,0.06,6.86E+07
13,Low Fe Add-Back,13addback_a2,,,,4725,0.403,7.8,7.7,-0.1,
13,Low Fe Add-Back,13addback_b2,,,,4517,0.422,7.81,7.68,-0.13,
13,Low Fe Add-Back,13addback_c2,,,,3371,0.416,7.8,7.71,-0.09,